	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000000003	TSPAN6	659	382	715	521	574	530
ENSG00000000419	DPM1	291	252	283	273	370	209
ENSG00000000457	SCYL3	172	129	186	216	167	120
ENSG00000000460	C1orf112	39	31	47	41	42	34
ENSG00000000938	FGR	478	443	436	542	536	417
ENSG00000000971	CFH	878	813	918	1014	1336	623
ENSG00000001036	FUCA2	758	644	706	744	856	577
ENSG00000001084	GCLC	658	498	616	801	890	456
ENSG00000001167	NFYA	147	88	177	524	223	186
ENSG00000001460	STPG1	81	61	78	111	71	68
ENSG00000001461	NIPAL3	244	219	293	385	300	221
ENSG00000001497	LAS1L	205	208	213	250	222	144
ENSG00000001629	ANKIB1	877	697	814	1186	981	680
ENSG00000001630	CYP51A1	360	405	372	423	385	301
ENSG00000001631	KRIT1	340	204	254	375	327	186
ENSG00000002016	RAD52	75	59	86	85	54	76
ENSG00000002330	BAD	165	207	144	184	202	138
ENSG00000002549	LAP3	986	870	1047	1139	1199	994
ENSG00000002822	MAD1L1	256	372	228	229	376	254
ENSG00000002834	LASP1	1511	1595	1604	2434	2064	1382
ENSG00000002919	SNX11	173	174	220	312	236	144
ENSG00000003056	M6PR	1059	745	1077	899	1082	884
ENSG00000003147	ICA1	327	341	293	299	375	221
ENSG00000003249	DBNDD1	55	41	55	87	44	45
ENSG00000003393	ALS2	494	325	484	666	594	431
ENSG00000003400	CASP10	43	33	28	56	50	30
ENSG00000003402	CFLAR	1419	1242	1415	2628	1916	1233
ENSG00000003436	TFPI	402	314	408	432	655	273
ENSG00000003509	NDUFAF7	183	172	218	242	280	176
ENSG00000003756	RBM5	622	698	649	883	898	543
ENSG00000004059	ARF5	466	550	439	415	554	388
ENSG00000004142	POLDIP2	1964	1942	2184	2358	2270	1976
ENSG00000004399	PLXND1	446	501	393	1630	555	373
ENSG00000004455	AK2	1040	940	979	1031	1052	747
ENSG00000004478	FKBP4	904	871	933	881	937	789
ENSG00000004487	KDM1A	919	928	1051	977	1103	810
ENSG00000004534	RBM6	374	371	369	411	441	281
ENSG00000004660	CAMKK1	22	29	19	30	38	18
ENSG00000004700	RECQL	341	312	280	337	466	210
ENSG00000004766	CCDC132	327	318	357	326	454	223
ENSG00000004776	HSPB6	270	702	478	1852	783	529
ENSG00000004779	NDUFAB1	932	896	1194	750	1095	890
ENSG00000004799	PDK4	6042	3812	7129	7736	5833	4355
ENSG00000004864	SLC25A13	422	377	579	515	494	402
ENSG00000004866	ST7	167	117	194	233	162	168
ENSG00000004897	CDC27	1057	654	847	1200	1053	646
ENSG00000004961	HCCS	156	116	158	248	161	121
ENSG00000004975	DVL2	346	296	325	578	306	256
ENSG00000005007	UPF1	317	471	390	871	571	344
ENSG00000005020	SKAP2	447	352	516	611	624	390
ENSG00000005022	SLC25A5	971	537	961	1443	716	837
ENSG00000005059	CCDC109B	454	431	599	405	529	406
ENSG00000005073	HOXA11	34	47	47	35	45	34
ENSG00000005075	POLR2J	74	89	55	68	83	61
ENSG00000005100	DHX33	145	99	129	280	165	124
ENSG00000005156	LIG3	166	213	185	266	245	149
ENSG00000005175	RPAP3	143	89	118	222	169	72
ENSG00000005187	ACSM3	39	34	39	41	37	29
ENSG00000005189	na	80	73	65	101	102	54
ENSG00000005194	CIAPIN1	704	710	644	721	787	658
ENSG00000005206	SPPL2B	69	103	59	164	89	66
ENSG00000005238	FAM214B	817	530	901	910	646	708
ENSG00000005243	COPZ2	848	803	707	672	847	672
ENSG00000005249	PRKAR2B	3476	2556	3517	4196	3940	2540
ENSG00000005302	MSL3	180	139	205	195	183	115
ENSG00000005339	CREBBP	202	146	208	735	215	209
ENSG00000005436	GCFC2	305	228	228	324	340	190
ENSG00000005448	WDR54	48	38	45	35	53	51
ENSG00000005469	CROT	144	150	164	153	168	137
ENSG00000005483	KMT2E	378	205	363	709	428	290
ENSG00000005486	RHBDD2	252	152	255	324	208	260
ENSG00000005700	IBTK	2203	1729	2177	2816	3008	1646
ENSG00000005801	ZNF195	264	201	225	308	286	153
ENSG00000005810	MYCBP2	2122	1508	2667	4951	2657	2176
ENSG00000005812	FBXL3	352	263	352	464	616	268
ENSG00000005882	PDK2	212	166	190	271	201	194
ENSG00000005884	ITGA3	133	144	143	217	182	133
ENSG00000005889	ZFX	566	543	622	1262	878	521
ENSG00000005893	LAMP2	1423	1002	1725	1834	1828	1411
ENSG00000006007	GDE1	2460	1934	2633	2569	2496	1905
ENSG00000006015	C19orf60	365	791	382	333	639	380
ENSG00000006016	CRLF1	206	722	252	367	613	267
ENSG00000006042	TMEM98	115	82	89	96	100	98
ENSG00000006047	YBX2	26	29	14	46	31	17
ENSG00000006062	MAP3K14	12	20	13	35	39	14
ENSG00000006118	TMEM132A	54	91	66	95	92	69
ENSG00000006125	AP2B1	853	597	956	2638	964	876
ENSG00000006194	ZNF263	233	345	257	285	346	225
ENSG00000006210	CX3CL1	11	2	8	63	54	32
ENSG00000006282	SPATA20	531	731	562	574	672	498
ENSG00000006327	TNFRSF12A	62	86	86	94	205	102
ENSG00000006451	RALA	117	83	116	223	117	83
ENSG00000006453	BAIAP2L1	14	21	14	35	30	20
ENSG00000006459	KDM7A	82	70	97	162	101	78
ENSG00000006468	ETV1	31	26	57	47	46	38
ENSG00000006530	AGK	373	366	419	472	536	315
ENSG00000006534	ALDH3B1	56	84	71	94	66	66
ENSG00000006576	PHTF2	232	145	260	298	259	176
ENSG00000006607	FARP2	613	508	607	942	697	565
ENSG00000006625	GGCT	116	83	101	105	112	59
ENSG00000006634	DBF4	104	52	84	83	91	49
ENSG00000006652	IFRD1	326	483	402	519	599	353
ENSG00000006695	COX10	331	252	414	380	304	310
ENSG00000006704	GTF2IRD1	53	39	43	120	58	49
ENSG00000006712	PAF1	199	207	175	190	241	152
ENSG00000006715	VPS41	870	765	985	947	969	717
ENSG00000006740	ARHGAP44	16	17	26	24	19	15
ENSG00000006744	ELAC2	773	887	807	1074	985	733
ENSG00000006756	ARSD	303	260	282	374	316	244
ENSG00000006757	PNPLA4	81	55	88	83	59	78
ENSG00000006831	ADIPOR2	1431	1070	1593	3669	1582	1397
ENSG00000007047	MARK4	143	127	145	305	146	153
ENSG00000007080	CCDC124	112	89	93	125	117	66
ENSG00000007168	PAFAH1B1	748	621	729	1095	864	541
ENSG00000007202	KIAA0100	2618	2154	2676	4176	2745	2358
ENSG00000007237	GAS7	33	18	23	44	25	20
ENSG00000007255	TRAPPC6A	51	69	58	62	73	47
ENSG00000007314	SCN4A	381	402	554	758	505	444
ENSG00000007341	ST7L	196	150	226	196	229	154
ENSG00000007376	RPUSD1	195	212	174	188	252	165
ENSG00000007384	RHBDF1	121	168	134	200	206	103
ENSG00000007392	LUC7L	237	251	227	231	321	169
ENSG00000007520	TSR3	338	542	347	318	503	262
ENSG00000007541	PIGQ	122	129	140	153	116	96
ENSG00000007545	CRAMP1L	46	35	41	147	66	56
ENSG00000007866	TEAD3	38	43	58	150	41	62
ENSG00000007923	DNAJC11	469	427	517	716	517	468
ENSG00000007944	MYLIP	271	253	325	333	333	225
ENSG00000008018	PSMB1	1991	1899	2056	1671	2281	1637
ENSG00000008083	JARID2	307	260	348	523	314	284
ENSG00000008086	CDKL5	99	64	80	168	107	68
ENSG00000008128	CDK11A	42	19	33	41	41	24
ENSG00000008130	NADK	1353	1584	1397	1877	1755	1174
ENSG00000008256	CYTH3	192	185	247	365	300	188
ENSG00000008282	SYPL1	386	247	531	743	454	348
ENSG00000008283	CYB561	152	131	121	174	152	104
ENSG00000008294	SPAG9	1450	1183	1400	2057	1725	1028
ENSG00000008311	AASS	776	621	845	865	919	614
ENSG00000008323	PLEKHG6	460	437	436	632	558	412
ENSG00000008324	SS18L2	41	43	42	56	42	31
ENSG00000008382	MPND	36	42	23	44	48	28
ENSG00000008394	MGST1	4828	2992	4546	7095	5448	3483
ENSG00000008405	CRY1	106	90	83	129	145	69
ENSG00000008441	NFIX	316	306	382	2095	418	409
ENSG00000008513	ST3GAL1	1505	1514	2024	2495	1887	1616
ENSG00000008710	PKD1	338	536	443	1151	525	434
ENSG00000008735	MAPK8IP2	110	162	149	157	171	120
ENSG00000008838	MED24	432	422	459	731	458	432
ENSG00000008853	RHOBTB2	67	81	82	132	59	56
ENSG00000008869	HEATR5B	1094	683	1208	1298	1082	895
ENSG00000008952	SEC62	600	342	465	870	637	312
ENSG00000008988	RPS20	9679	8195	7337	7128	8511	5836
ENSG00000009307	CSDE1	7980	5156	7012	8274	7315	4749
ENSG00000009335	UBE3C	2556	1950	2991	2930	2888	2154
ENSG00000009413	REV3L	2027	1197	1516	4435	3353	1275
ENSG00000009780	FAM76A	193	149	222	160	183	166
ENSG00000009830	POMT2	202	212	237	363	198	199
ENSG00000009844	VTA1	511	344	489	518	542	319
ENSG00000009950	MLXIPL	214	371	282	1066	462	311
ENSG00000009954	BAZ1B	1007	802	926	1423	986	668
ENSG00000010017	RANBP9	289	193	337	519	338	237
ENSG00000010072	SPRTN	213	126	187	231	227	113
ENSG00000010165	METTL13	251	265	240	336	302	227
ENSG00000010219	DYRK4	73	82	75	67	82	60
ENSG00000010244	ZNF207	868	536	916	1173	912	671
ENSG00000010256	UQCRC1	2422	2574	2422	2523	2899	2384
ENSG00000010270	STARD3NL	221	237	254	201	297	160
ENSG00000010278	CD9	415	380	359	347	547	268
ENSG00000010292	NCAPD2	190	206	215	376	275	189
ENSG00000010295	IFFO1	82	142	81	116	160	72
ENSG00000010310	GIPR	146	125	99	300	171	90
ENSG00000010318	PHF7	116	129	113	107	126	90
ENSG00000010319	SEMA3G	1346	1762	1486	3596	2053	1263
ENSG00000010322	NISCH	421	505	512	902	571	516
ENSG00000010361	FUZ	52	54	60	54	42	45
ENSG00000010404	IDS	125	124	156	197	191	134
ENSG00000010539	ZNF200	127	123	149	141	180	106
ENSG00000010626	LRRC23	36	37	35	39	33	19
ENSG00000010704	HFE	194	93	150	343	152	101
ENSG00000010803	SCMH1	299	222	305	474	289	299
ENSG00000010810	FYN	537	586	673	623	743	525
ENSG00000010818	HIVEP2	188	129	188	659	331	246
ENSG00000011007	TCEB3	1440	1298	1538	1922	1521	1217
ENSG00000011009	LYPLA2	376	350	361	341	356	336
ENSG00000011021	CLCN6	233	132	241	503	222	209
ENSG00000011028	MRC2	73	97	112	160	133	112
ENSG00000011105	TSPAN9	100	117	90	125	117	100
ENSG00000011114	BTBD7	574	333	573	706	595	412
ENSG00000011132	APBA3	104	103	103	149	134	127
ENSG00000011143	MKS1	66	55	76	71	84	53
ENSG00000011198	ABHD5	1684	1247	1754	1645	1619	1203
ENSG00000011243	AKAP8L	312	337	286	303	436	285
ENSG00000011258	MBTD1	230	167	261	411	289	204
ENSG00000011260	UTP18	346	429	369	293	515	241
ENSG00000011275	RNF216	517	465	532	720	573	437
ENSG00000011295	TTC19	290	254	306	343	341	219
ENSG00000011304	PTBP1	399	411	404	937	560	365
ENSG00000011347	SYT7	25	31	15	39	29	16
ENSG00000011376	LARS2	643	600	721	930	713	576
ENSG00000011405	PIK3C2A	1418	842	1195	2134	1701	809
ENSG00000011422	PLAUR	81	79	95	102	123	115
ENSG00000011426	ANLN	19	10	15	26	34	15
ENSG00000011451	WIZ	182	275	289	741	301	257
ENSG00000011454	RABGAP1	517	388	472	739	513	388
ENSG00000011465	DCN	2607	5299	3314	2785	6559	2637
ENSG00000011478	QPCTL	91	115	101	164	125	118
ENSG00000011485	PPP5C	265	234	279	378	286	236
ENSG00000011523	CEP68	257	233	273	489	300	240
ENSG00000011566	MAP4K3	345	283	352	385	438	242
ENSG00000011638	TMEM159	132	116	153	143	168	123
ENSG00000012048	BRCA1	69	57	74	88	87	54
ENSG00000012061	ERCC1	825	780	793	725	854	688
ENSG00000012171	SEMA3B	60	119	40	104	116	40
ENSG00000012174	MBTPS2	126	85	159	496	187	151
ENSG00000012211	PRICKLE3	40	34	31	91	44	32
ENSG00000012232	EXTL3	654	547	744	1253	672	666
ENSG00000012660	ELOVL5	9795	3430	8811	12238	6036	5464
ENSG00000012817	KDM5D	305	272	314	420	330	249
ENSG00000012822	CALCOCO1	1492	1788	1466	1638	1918	1382
ENSG00000012963	UBR7	163	165	205	231	191	134
ENSG00000012983	MAP4K5	385	323	381	537	523	268
ENSG00000013016	EHD3	45	78	57	88	95	64
ENSG00000013275	PSMC4	1090	979	1166	1177	1195	1021
ENSG00000013288	MAN2B2	235	245	311	691	316	281
ENSG00000013297	CLDN11	204	202	222	288	275	173
ENSG00000013306	SLC25A39	905	842	888	1030	948	790
ENSG00000013364	MVP	900	1245	933	1109	1308	876
ENSG00000013374	NUB1	410	310	369	363	426	293
ENSG00000013375	PGM3	762	627	771	869	1025	571
ENSG00000013392	RWDD2A	44	37	40	99	57	25
ENSG00000013441	CLK1	442	566	476	676	964	351
ENSG00000013503	POLR3B	340	225	308	471	374	229
ENSG00000013523	ANGEL1	187	121	187	322	196	138
ENSG00000013561	RNF14	852	804	933	746	951	705
ENSG00000013563	DNASE1L1	71	52	86	77	89	70
ENSG00000013573	DDX11	54	57	59	69	90	50
ENSG00000013583	HEBP1	37	29	42	183	46	37
ENSG00000013619	MAMLD1	18	13	24	95	31	23
ENSG00000013810	TACC3	12	24	16	46	23	19
ENSG00000014123	UFL1	466	368	464	572	612	333
ENSG00000014138	POLA2	75	65	61	97	71	64
ENSG00000014164	ZC3H3	41	37	59	153	53	55
ENSG00000014216	CAPN1	662	658	632	1066	792	650
ENSG00000014641	MDH1	10017	11107	10388	9768	12526	7836
ENSG00000014824	SLC30A9	1107	826	1163	1230	1288	846
ENSG00000014919	COX15	790	738	1098	882	887	776
ENSG00000015153	YAF2	168	191	166	224	244	147
ENSG00000015171	ZMYND11	826	592	752	937	937	553
ENSG00000015475	BID	226	191	212	296	275	178
ENSG00000015479	MATR3	32	27	38	72	55	32
ENSG00000015532	XYLT2	293	363	385	462	403	281
ENSG00000015676	NUDCD3	832	880	882	1091	901	744
ENSG00000016864	GLT8D1	226	244	222	288	307	172
ENSG00000017260	ATP2C1	1251	1022	1350	2193	1454	1125
ENSG00000017427	IGF1	21	13	19	17	21	17
ENSG00000017797	RALBP1	707	671	674	708	821	482
ENSG00000018189	RUFY3	293	295	317	358	433	254
ENSG00000018408	WWTR1	565	328	500	1584	619	437
ENSG00000018510	AGPS	923	638	917	1098	1023	665
ENSG00000018610	CXorf56	558	567	696	523	695	513
ENSG00000018625	ATP1A2	536	648	533	1091	779	510
ENSG00000018699	TTC27	237	186	240	227	288	197
ENSG00000018869	ZNF582	25	37	36	45	50	22
ENSG00000019144	PHLDB1	1516	1959	1822	3461	2198	1599
ENSG00000019169	MARCO	73	97	89	77	109	88
ENSG00000019485	PRDM11	50	58	43	68	48	47
ENSG00000019549	SNAI2	107	132	109	241	215	127
ENSG00000019991	HGF	20	42	50	25	65	23
ENSG00000019995	ZRANB1	469	390	476	509	501	338
ENSG00000020129	NCDN	282	286	326	648	335	317
ENSG00000020181	ADGRA2	284	390	348	434	388	279
ENSG00000020256	ZFP64	72	76	115	111	80	61
ENSG00000020426	MNAT1	294	257	283	242	368	163
ENSG00000020577	SAMD4A	122	128	151	377	274	161
ENSG00000020922	MRE11A	144	96	130	161	153	90
ENSG00000021355	SERPINB1	341	245	312	411	340	252
ENSG00000021574	SPAST	270	187	236	228	306	166
ENSG00000021762	OSBPL5	115	178	117	207	200	102
ENSG00000021776	AQR	569	384	570	722	634	367
ENSG00000021826	CPS1	479	347	441	576	533	357
ENSG00000022267	FHL1	9256	9204	11557	10560	12630	9646
ENSG00000022277	RTFDC1	770	713	787	650	760	635
ENSG00000022567	SLC45A4	44	20	42	46	36	26
ENSG00000022840	RNF10	774	859	933	1800	1098	861
ENSG00000022976	ZNF839	63	70	91	97	90	75
ENSG00000023041	ZDHHC6	225	200	290	320	290	229
ENSG00000023171	GRAMD1B	56	47	44	82	55	50
ENSG00000023191	RNH1	1902	2300	1737	2402	2343	1661
ENSG00000023228	NDUFS1	4413	4130	4902	4809	5205	3689
ENSG00000023287	RB1CC1	1013	663	842	1350	1338	608
ENSG00000023318	ERP44	375	240	423	482	335	254
ENSG00000023330	ALAS1	2081	2105	2463	2644	2534	2051
ENSG00000023445	BIRC3	32	24	10	432	389	108
ENSG00000023516	AKAP11	771	461	684	1538	948	574
ENSG00000023572	GLRX2	401	397	525	310	537	374
ENSG00000023608	SNAPC1	33	28	31	53	75	29
ENSG00000023697	DERA	311	195	288	259	294	216
ENSG00000023734	STRAP	1507	1130	1540	2191	1644	1071
ENSG00000023839	ABCC2	102	122	146	143	177	124
ENSG00000023902	PLEKHO1	127	107	100	119	156	100
ENSG00000023909	GCLM	248	253	285	449	431	213
ENSG00000024048	UBR2	1231	887	1152	1343	1235	836
ENSG00000024422	EHD2	936	821	1078	4398	1116	1171
ENSG00000024862	CCDC28A	41	48	51	64	46	30
ENSG00000025156	HSF2	118	78	107	128	148	65
ENSG00000025293	PHF20	319	225	253	491	400	248
ENSG00000025434	NR1H3	9740	9729	9898	9005	10539	9536
ENSG00000025708	TYMP	117	152	105	159	187	101
ENSG00000025770	NCAPH2	293	382	282	298	351	279
ENSG00000025772	TOMM34	212	227	198	225	221	171
ENSG00000025796	SEC63	163	74	189	618	159	179
ENSG00000025800	KPNA6	1674	1341	2109	2333	1743	1549
ENSG00000026025	VIM	14578	10694	15318	14320	14566	12444
ENSG00000026103	FAS	629	572	687	818	1079	565
ENSG00000026297	RNASET2	97	215	109	83	183	101
ENSG00000026508	CD44	468	310	505	1465	597	535
ENSG00000026559	KCNG1	26	18	15	21	19	18
ENSG00000026652	AGPAT4	141	92	125	276	111	103
ENSG00000026950	BTN3A1	139	171	182	194	173	143
ENSG00000027001	MIPEP	201	167	152	209	208	154
ENSG00000027697	IFNGR1	826	612	693	937	1053	570
ENSG00000027847	B4GALT7	361	375	391	433	405	366
ENSG00000028116	VRK2	126	112	91	135	162	87
ENSG00000028137	TNFRSF1B	34	29	17	78	71	20
ENSG00000028203	VEZT	1009	635	960	1047	1058	751
ENSG00000028310	BRD9	178	193	170	259	234	161
ENSG00000028528	SNX1	335	263	256	809	360	255
ENSG00000028839	TBPL1	167	108	167	88	164	109
ENSG00000029153	ARNTL2	113	50	93	161	109	78
ENSG00000029363	BCLAF1	878	524	710	1068	942	490
ENSG00000029364	SLC39A9	2250	1781	2592	2516	2623	1913
ENSG00000029639	TFB1M	82	83	79	104	96	55
ENSG00000029725	RABEP1	679	559	605	883	801	426
ENSG00000029993	HMGB3	136	173	142	122	184	110
ENSG00000030066	NUP160	342	260	343	676	418	295
ENSG00000030110	BAK1	132	155	155	186	152	162
ENSG00000030419	IKZF2	124	61	85	128	123	52
ENSG00000030582	GRN	444	582	626	1235	839	571
ENSG00000031003	FAM13B	295	224	343	398	393	249
ENSG00000031081	ARHGAP31	837	591	940	1443	894	781
ENSG00000031691	CENPQ	46	27	18	45	42	15
ENSG00000031698	SARS	2121	2059	2060	1785	2296	1799
ENSG00000031823	RANBP3	172	233	214	303	260	165
ENSG00000032219	ARID4A	73	58	66	195	115	45
ENSG00000032389	TSSC1	394	336	336	307	334	306
ENSG00000032444	PNPLA6	340	340	319	672	425	320
ENSG00000032742	IFT88	97	76	109	97	98	68
ENSG00000033011	ALG1	198	209	210	230	239	148
ENSG00000033030	ZCCHC8	114	80	115	129	105	111
ENSG00000033050	ABCF2	1289	1264	1262	1344	1409	1068
ENSG00000033100	CHPF2	505	757	681	1210	849	571
ENSG00000033170	FUT8	395	319	413	498	457	302
ENSG00000033178	UBA6	1019	669	876	1055	1175	650
ENSG00000033327	GAB2	626	480	732	839	603	626
ENSG00000033627	ATP6V0A1	417	426	609	943	660	565
ENSG00000033800	PIAS1	275	166	227	345	216	170
ENSG00000033867	SLC4A7	547	406	494	635	704	359
ENSG00000034152	MAP2K3	98	121	134	630	223	174
ENSG00000034510	TMSB10	9184	7536	7462	6068	7425	6548
ENSG00000034533	ASTE1	73	52	65	83	70	40
ENSG00000034677	RNF19A	512	353	526	597	657	401
ENSG00000034693	PEX3	315	247	367	319	392	271
ENSG00000034713	GABARAPL2	207	190	262	272	222	179
ENSG00000035115	SH3YL1	164	115	150	214	186	97
ENSG00000035141	FAM136A	269	265	290	272	299	205
ENSG00000035403	VCL	2714	2737	3394	4494	3370	2797
ENSG00000035681	NSMAF	616	517	700	940	824	572
ENSG00000035687	ADSS	262	245	260	233	341	207
ENSG00000035862	TIMP2	775	788	1066	3081	1133	954
ENSG00000035928	RFC1	532	371	380	697	610	267
ENSG00000036054	TBC1D23	751	555	702	752	940	508
ENSG00000036257	CUL3	437	377	353	765	517	292
ENSG00000036549	ZZZ3	559	470	538	594	661	299
ENSG00000037042	TUBG2	28	49	24	48	43	27
ENSG00000037241	RPL26L1	116	89	112	84	95	64
ENSG00000037474	NSUN2	389	422	521	704	634	388
ENSG00000037637	FBXO42	371	372	469	633	494	383
ENSG00000037749	MFAP3	461	281	464	525	513	312
ENSG00000037757	MRI1	135	190	150	194	222	120
ENSG00000037897	METTL1	45	45	52	76	73	61
ENSG00000037965	HOXC8	91	84	117	202	83	93
ENSG00000038002	AGA	189	111	171	161	165	134
ENSG00000038210	PI4K2B	111	108	101	135	152	62
ENSG00000038219	BOD1L1	196	177	147	670	365	122
ENSG00000038274	MAT2B	239	164	209	264	205	152
ENSG00000038358	EDC4	249	286	275	450	373	254
ENSG00000038382	TRIO	1442	1514	1710	2783	1990	1583
ENSG00000038427	VCAN	1157	784	1319	2797	1585	1214
ENSG00000038532	CLEC16A	375	323	363	648	407	359
ENSG00000038945	MSR1	30	25	41	25	40	25
ENSG00000039123	SKIV2L2	1080	703	887	999	1104	587
ENSG00000039319	ZFYVE16	901	483	791	1155	1014	571
ENSG00000039523	FAM65A	40	77	83	450	140	104
ENSG00000039537	C6	92	119	118	126	164	134
ENSG00000039560	RAI14	204	135	182	235	182	136
ENSG00000039650	PNKP	107	124	97	149	107	101
ENSG00000040199	PHLPP2	151	128	194	339	223	175
ENSG00000040275	SPDL1	79	48	56	73	93	47
ENSG00000040341	STAU2	514	297	405	408	459	356
ENSG00000040487	PQLC2	142	160	151	199	176	123
ENSG00000040531	CTNS	192	132	179	254	210	174
ENSG00000040633	PHF23	369	288	333	331	314	273
ENSG00000040933	INPP4A	251	234	255	394	288	214
ENSG00000041357	PSMA4	1669	1342	1818	1489	1934	1186
ENSG00000041802	LSG1	410	431	432	422	609	342
ENSG00000041880	PARP3	297	261	282	357	314	241
ENSG00000041988	THAP3	271	391	257	280	296	225
ENSG00000042062	FAM65C	81	128	78	179	150	71
ENSG00000042088	TDP1	176	131	188	144	163	123
ENSG00000042286	AIFM2	1154	1197	1127	2981	1437	1009
ENSG00000042317	SPATA7	129	70	91	104	109	69
ENSG00000042429	MED17	161	113	146	222	194	132
ENSG00000042445	RETSAT	11256	10663	12659	14765	12368	11300
ENSG00000042493	CAPG	1155	1153	928	979	1246	961
ENSG00000042753	AP2S1	1405	1099	1436	1066	1283	1247
ENSG00000042832	TG	52	48	56	102	73	53
ENSG00000043093	DCUN1D1	783	421	739	825	756	399
ENSG00000043143	JADE2	245	223	221	290	201	164
ENSG00000043514	TRIT1	169	190	154	193	213	126
ENSG00000044090	CUL7	357	406	328	553	372	293
ENSG00000044115	CTNNA1	2795	2853	2935	3244	3286	2347
ENSG00000044446	PHKA2	228	185	209	408	244	158
ENSG00000044459	CNTLN	96	63	83	129	96	42
ENSG00000044574	HSPA5	1069	1055	1398	4613	1731	1460
ENSG00000046647	GEMIN8	71	79	85	92	72	62
ENSG00000046651	OFD1	61	77	61	113	100	47
ENSG00000047056	WDR37	171	162	191	232	215	179
ENSG00000047188	YTHDC2	478	409	486	748	708	425
ENSG00000047230	CTPS2	175	148	172	146	173	130
ENSG00000047249	ATP6V1H	543	626	640	666	794	525
ENSG00000047315	POLR2B	2035	1729	2413	2210	2535	1678
ENSG00000047346	FAM214A	714	489	906	1976	1043	780
ENSG00000047410	TPR	739	422	502	1553	1220	325
ENSG00000047578	KIAA0556	49	66	71	135	84	58
ENSG00000047579	DTNBP1	36	50	28	53	63	26
ENSG00000047621	C12orf4	669	454	541	506	656	427
ENSG00000047634	SCML1	288	158	215	461	381	171
ENSG00000047644	WWC3	92	95	107	139	118	77
ENSG00000047648	ARHGAP6	19	19	18	15	14	10
ENSG00000047849	MAP4	2223	2001	2563	5812	2785	2181
ENSG00000047932	GOPC	234	231	252	303	316	198
ENSG00000047936	ROS1	55	69	122	98	135	96
ENSG00000048028	USP28	250	176	269	309	270	181
ENSG00000048052	HDAC9	32	28	22	105	47	24
ENSG00000048140	TSPAN17	269	225	227	337	278	202
ENSG00000048162	NOP16	105	87	108	118	106	69
ENSG00000048342	CC2D2A	340	249	319	350	413	230
ENSG00000048392	RRM2B	4481	3692	4999	4705	6064	3506
ENSG00000048405	ZNF800	366	207	242	525	426	184
ENSG00000048471	SNX29	377	321	383	616	384	277
ENSG00000048540	LMO3	129	123	95	130	138	69
ENSG00000048544	MRPS10	920	639	1041	813	924	679
ENSG00000048649	RSF1	291	188	237	562	321	159
ENSG00000048707	VPS13D	1136	861	1205	2332	1275	924
ENSG00000048740	CELF2	112	66	126	344	132	139
ENSG00000048828	FAM120A	950	836	1112	2144	1183	968
ENSG00000048991	R3HDM1	152	73	146	446	120	135
ENSG00000049130	KITLG	194	168	258	220	279	177
ENSG00000049167	ERCC8	403	299	405	377	460	264
ENSG00000049192	ADAMTS6	241	144	267	147	202	185
ENSG00000049239	H6PD	482	478	519	1240	601	439
ENSG00000049245	VAMP3	742	437	523	787	666	395
ENSG00000049246	PER3	143	76	116	172	114	71
ENSG00000049323	LTBP1	243	323	323	348	419	279
ENSG00000049449	RCN1	2188	1801	1974	2623	2726	1573
ENSG00000049540	ELN	242	601	358	357	543	310
ENSG00000049541	RFC2	110	67	78	110	85	57
ENSG00000049618	ARID1B	252	235	326	1007	374	305
ENSG00000049656	CLPTM1L	1027	1043	1018	1051	1222	937
ENSG00000049759	NEDD4L	63	36	49	80	52	42
ENSG00000049769	PPP1R3F	76	87	51	84	96	53
ENSG00000049860	HEXB	725	638	783	653	911	523
ENSG00000049883	PTCD2	366	276	359	360	369	283
ENSG00000050130	JKAMP	496	330	549	446	596	384
ENSG00000050165	DKK3	69	98	61	68	107	47
ENSG00000050344	NFE2L3	34	21	35	69	40	22
ENSG00000050393	MCUR1	238	248	271	250	298	165
ENSG00000050405	LIMA1	3682	2871	3680	4407	4554	2661
ENSG00000050426	LETMD1	700	521	566	943	672	508
ENSG00000050438	SLC4A8	21	18	33	30	30	22
ENSG00000050628	PTGER3	902	707	1105	1284	1079	862
ENSG00000050748	MAPK9	257	240	315	520	294	204
ENSG00000050820	BCAR1	170	194	210	402	280	214
ENSG00000051009	FAM160A2	129	144	180	216	190	168
ENSG00000051108	HERPUD1	193	145	182	390	227	183
ENSG00000051128	HOMER3	48	83	73	51	103	59
ENSG00000051341	POLQ	21	35	23	18	33	19
ENSG00000051382	PIK3CB	108	90	144	409	185	175
ENSG00000051523	CYBA	152	250	153	117	294	126
ENSG00000051596	THOC3	29	19	23	23	39	20
ENSG00000051620	HEBP2	6902	5962	6994	5324	7774	4892
ENSG00000051825	MPHOSPH9	382	249	299	397	407	231
ENSG00000052126	PLEKHA5	156	131	145	208	192	98
ENSG00000052723	SIKE1	601	501	607	589	729	441
ENSG00000052749	RRP12	164	194	196	338	247	194
ENSG00000052795	FNIP2	477	407	511	841	574	445
ENSG00000052802	MSMO1	5416	2704	4955	4421	4052	3262
ENSG00000052841	TTC17	866	612	831	999	989	606
ENSG00000053254	FOXN3	1307	919	1507	2170	1454	1119
ENSG00000053371	AKR7A2	441	419	519	492	539	459
