	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000197223	C1D	128	128	132	94	181	81
ENSG00000197226	TBC1D9B	1611	1556	1721	2475	1676	1414
ENSG00000197238	HIST1H4J	115	49	94	70	75	99
ENSG00000197256	KANK2	794	619	770	1693	750	562
ENSG00000197265	GTF2E2	519	679	645	546	774	433
ENSG00000197283	SYNGAP1	19	14	20	46	19	13
ENSG00000197291	RAMP2-AS1	39	77	38	82	78	33
ENSG00000197296	FITM2	1149	859	1219	1906	1209	976
ENSG00000197302	ZNF720	70	80	92	143	101	65
ENSG00000197312	DDI2	414	367	548	993	518	354
ENSG00000197321	SVIL	876	823	937	1870	1140	734
ENSG00000197323	TRIM33	286	237	280	410	414	233
ENSG00000197324	LRP10	750	784	938	1862	1001	928
ENSG00000197329	PELI1	94	50	98	114	114	80
ENSG00000197343	ZNF655	342	210	331	505	456	250
ENSG00000197345	MRPL21	294	291	246	264	318	254
ENSG00000197355	UAP1L1	73	117	89	149	116	74
ENSG00000197362	ZNF786	49	32	33	53	46	29
ENSG00000197363	ZNF517	62	58	50	64	65	32
ENSG00000197372	ZNF675	84	47	72	80	83	38
ENSG00000197375	SLC22A5	82	69	102	130	93	68
ENSG00000197380	DACT3	29	41	30	36	22	28
ENSG00000197381	ADARB1	160	130	160	320	172	174
ENSG00000197386	HTT	772	700	875	3379	963	886
ENSG00000197415	VEPH1	239	168	170	271	240	134
ENSG00000197417	SHPK	17	15	26	29	24	21
ENSG00000197429	IPP	214	201	269	345	257	179
ENSG00000197442	MAP3K5	206	172	179	270	284	164
ENSG00000197448	GSTK1	1659	1234	1523	1742	1558	1422
ENSG00000197451	HNRNPAB	328	358	304	418	429	246
ENSG00000197461	PDGFA	15	14	23	35	21	27
ENSG00000197465	GYPE	36	31	54	39	56	37
ENSG00000197496	SLC2A10	289	272	382	678	442	320
ENSG00000197497	ZNF665	32	30	36	48	35	42
ENSG00000197498	RPF2	366	219	294	363	357	179
ENSG00000197530	MIB2	177	349	175	202	340	182
ENSG00000197535	MYO5A	1757	1201	1948	2666	1966	1467
ENSG00000197536	C5orf56	26	26	28	94	48	29
ENSG00000197548	ATG7	415	430	429	356	478	429
ENSG00000197555	SIPA1L1	133	94	138	200	121	99
ENSG00000197557	TTC30A	62	51	63	67	61	35
ENSG00000197562	RAB40C	281	317	302	300	312	253
ENSG00000197563	PIGN	570	407	669	633	670	488
ENSG00000197565	COL4A6	127	205	93	197	199	109
ENSG00000197566	ZNF624	50	19	37	38	38	20
ENSG00000197579	TOPORS	391	292	334	479	423	223
ENSG00000197582	GPX1P1	30	47	41	25	42	47
ENSG00000197586	ENTPD6	661	837	674	759	872	623
ENSG00000197594	ENPP1	417	348	391	492	510	273
ENSG00000197601	FAR1	486	392	476	815	676	331
ENSG00000197603	C5orf42	563	306	488	834	600	404
ENSG00000197608	ZNF841	234	211	256	275	260	172
ENSG00000197614	MFAP5	2608	2458	2260	2348	3252	1759
ENSG00000197619	ZNF615	94	79	91	118	112	73
ENSG00000197620	CXorf40A	60	66	51	58	65	35
ENSG00000197622	CDC42SE1	528	456	622	606	625	549
