id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000035770	Dync1li2	1775	1248	1274	1362	2557	1598
ENSMUSG00000035772	Mrps2	519	487	596	588	1000	680
ENSMUSG00000035773	Kiss1r	6	8	11	7	13	5
ENSMUSG00000035776	Cd99l2	338	289	430	468	733	473
ENSMUSG00000035778	Ggta1	5422	4276	2156	3720	7570	4060
ENSMUSG00000035781	R3hdm4	535	562	754	703	1147	829
ENSMUSG00000035783	Acta2	148	116	38	97	234	140
ENSMUSG00000035790	Cep19	210	143	181	176	282	208
ENSMUSG00000035798	Zdhhc17	702	549	506	455	972	549
ENSMUSG00000035824	Tk2	647	467	406	586	1084	692
ENSMUSG00000035828	Pim3	1652	1149	878	867	1719	961
ENSMUSG00000035829	Ppp1r26	53	35	221	52	71	53
ENSMUSG00000035834	Polr3g	210	186	234	171	314	184
ENSMUSG00000035835	Plppr3	101	47	57	64	107	70
ENSMUSG00000035840	Lysmd3	1616	763	658	789	1823	893
ENSMUSG00000035842	Ddx11	253	184	429	327	548	310
ENSMUSG00000035845	Alg12	494	335	376	409	680	491
ENSMUSG00000035847	Ids	583	467	435	487	932	640
ENSMUSG00000035851	Ythdc1	3113	2086	1794	1549	3774	2027
ENSMUSG00000035852	Misp	16	10	7	1	0	2
ENSMUSG00000035860	Cdhr3	3	1	2	11	6	5
ENSMUSG00000035863	Palm	290	341	493	199	323	262
ENSMUSG00000035868	3110052M02Rik	57	37	42	28	83	56
ENSMUSG00000035873	Pawr	27	15	174	36	31	19
ENSMUSG00000035877	Zhx3	254	223	292	279	426	341
ENSMUSG00000035878	Hykk	12	15	33	14	13	19
ENSMUSG00000035885	Cox8a	1859	1541	1448	1507	2541	1950
ENSMUSG00000035890	Rnf126	674	555	757	511	857	595
ENSMUSG00000035891	Cerk	6450	4377	3898	5548	9848	7257
ENSMUSG00000035898	Uba6	2138	1593	1279	1632	3169	2094
ENSMUSG00000035900	Gramd4	760	465	416	455	830	713
ENSMUSG00000035901	Dennd5a	6345	4202	5096	4944	9315	6126
ENSMUSG00000035910	Dcdc2a	26	43	310	25	63	17
ENSMUSG00000035914	Cd276	225	234	325	412	631	469
ENSMUSG00000035919	Bbs9	153	140	189	210	355	189
ENSMUSG00000035929	H2-Q4	1721	1346	705	478	758	530
ENSMUSG00000035933	Cog5	832	663	787	844	1404	924
ENSMUSG00000035936	Aldh5a1	18	7	117	22	37	30
ENSMUSG00000035941	Ibtk	1795	1228	1067	1295	2720	1758
ENSMUSG00000035944	Ttc38	200	162	171	194	283	200
ENSMUSG00000035949	Fbxw2	1712	1293	1091	1311	2514	1619
ENSMUSG00000035953	Tmem55b	1448	1064	811	1168	2362	1387
ENSMUSG00000035954	Dock4	663	856	384	464	922	607
ENSMUSG00000035958	Tdp2	581	405	573	441	833	478
ENSMUSG00000035960	Apex1	1099	806	1114	1203	1997	1554
ENSMUSG00000035967	Ddx26b	1000	528	524	845	2190	1111
ENSMUSG00000035969	Rusc2	1065	933	1625	1081	1659	1145
ENSMUSG00000035983	Gm7008	32	24	18	12	22	15
ENSMUSG00000035992	Fnip1	5545	4416	3121	3143	6942	3686
ENSMUSG00000036002	Fam214b	1371	939	599	776	1673	958
ENSMUSG00000036006	Fam65b	917	410	286	571	1382	660
ENSMUSG00000036009	Mettl25	274	186	258	235	478	266
ENSMUSG00000036019	Tmtc2	50	25	70	24	49	69
ENSMUSG00000036022	Fam122b	112	128	97	124	225	142
ENSMUSG00000036023	Parp2	981	650	478	675	1218	769
ENSMUSG00000036026	Tmem63b	449	284	650	358	607	415
ENSMUSG00000036030	Prtg	16	14	211	30	29	18
ENSMUSG00000036036	Zfp57	3	7	42	4	6	2
ENSMUSG00000036040	Adamtsl2	6	2	30	3	7	2
ENSMUSG00000036046	5031439G07Rik	11357	8010	9005	10984	16143	13841
ENSMUSG00000036052	Dnajb5	162	150	122	160	254	227
ENSMUSG00000036053	Fmnl2	2157	2000	1527	803	1728	879
ENSMUSG00000036054	Sugp2	851	529	565	608	1180	770
ENSMUSG00000036057	Ptpn23	556	360	366	294	641	363
ENSMUSG00000036061	Smug1	238	161	286	182	321	220
ENSMUSG00000036062	Phf24	2	4	6	8	12	19
ENSMUSG00000036067	Slc2a6	1040	538	311	479	1094	1049
ENSMUSG00000036073	Galt	408	315	244	305	564	414
ENSMUSG00000036078	Sigmar1	386	528	661	629	1066	918
ENSMUSG00000036086	Zranb3	974	806	616	982	1337	847
ENSMUSG00000036087	Slain2	3021	2311	1876	2044	4161	2364
ENSMUSG00000036091	Hyal3	69	67	75	58	112	72
ENSMUSG00000036093	Arl5a	2013	1585	1493	1206	2435	1732
ENSMUSG00000036097	Fam178a	2303	1724	1723	1701	3791	2245
ENSMUSG00000036099	Vezt	1170	808	810	899	1529	1102
ENSMUSG00000036103	Colec12	147	97	57	213	398	198
ENSMUSG00000036104	Rab3gap1	1583	1278	1445	1559	2709	1747
ENSMUSG00000036106	Prr5	15	11	22	22	19	11
