id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000145476	CYP4V2	99	101	115	73	106	112
ENSG00000145491	ROPN1L	20	23	19	11	22	18
ENSG00000145494	NDUFS6	2620	2525	2321	1893	2974	2581
ENSG00000145495	MARCH6	13266	15031	11442	8865	13742	13023
ENSG00000145506	NKD2	117	84	120	82	116	97
ENSG00000145526	CDH18	206	638	431	112	547	499
ENSG00000145536	ADAMTS16	2	0	0	0	0	0
ENSG00000145545	SRD5A1	1399	1199	1456	1007	1187	1355
ENSG00000145555	MYO10	2112	2245	1924	1519	2228	2016
ENSG00000145569	FAM105A	450	332	612	378	365	574
ENSG00000145592	RPL37	25499	23723	21733	16019	28573	22902
ENSG00000145604	SKP2	1509	1653	1475	1158	1565	1691
ENSG00000145623	OSMR	663	630	819	524	650	788
ENSG00000145626	UGT3A1	1	0	0	0	0	0
ENSG00000145632	PLK2	11873	13995	12869	9546	16434	11782
ENSG00000145675	PIK3R1	8901	12067	8187	5927	11144	8778
ENSG00000145681	HAPLN1	0	0	4	0	2	3
ENSG00000145685	LHFPL2	1606	1578	1552	1478	1770	1441
ENSG00000145687	SSBP2	1214	1723	1311	808	1614	1417
ENSG00000145692	BHMT	1	1	1	5	1	3
ENSG00000145700	ANKRD31	48	48	38	39	54	45
ENSG00000145703	IQGAP2	11	20	8	9	15	7
ENSG00000145715	RASA1	2662	2887	2405	1875	2800	2600
ENSG00000145721	LIX1	1	6	4	1	0	2
ENSG00000145723	GIN1	455	507	433	337	554	460
ENSG00000145725	PPIP5K2	2925	3177	2688	2114	3234	2799
ENSG00000145730	PAM	2482	2695	1800	1773	2881	1733
ENSG00000145734	BDP1	5352	5570	5485	4369	6135	5586
ENSG00000145736	GTF2H2	284	314	289	304	345	286
ENSG00000145740	SLC30A5	3855	4210	3661	3096	4416	4085
ENSG00000145741	BTF3	24893	22096	22656	17400	25158	23405
ENSG00000145743	FBXL17	1577	1671	1435	1134	1679	1501
ENSG00000145757	SPATA9	37	37	34	22	48	27
ENSG00000145779	TNFAIP8	409	326	318	357	414	324
ENSG00000145780	FEM1C	1118	1309	1053	806	1182	1159
ENSG00000145781	COMMD10	1274	1529	1400	1016	1582	1389
ENSG00000145782	ATG12	2905	3171	2529	2142	3280	2853
ENSG00000145794	MEGF10	5	0	4	3	3	2
ENSG00000145808	ADAMTS19	6279	8992	7165	3485	7701	8220
ENSG00000145817	YIPF5	1838	1991	1738	1265	2102	1841
ENSG00000145819	ARHGAP26	345	229	355	257	249	335
ENSG00000145824	CXCL14	9	9	4	7	8	9
ENSG00000145826	LECT2	1	0	0	0	0	0
ENSG00000145832	SLC25A48	4	5	4	0	2	6
ENSG00000145833	DDX46	9179	9824	9115	7046	10202	9569
ENSG00000145850	TIMD4	1	0	0	0	0	0
ENSG00000145860	RNF145	710	820	613	500	773	684
ENSG00000145861	C1QTNF2	8	5	12	2	8	5
ENSG00000145863	GABRA6	1	0	2	1	0	0
ENSG00000145864	GABRB2	9	24	15	1	22	30
ENSG00000145868	FBXO38	1936	1896	1759	1204	1941	1872
ENSG00000145879	SPINK7	1	0	1	0	1	0
ENSG00000145882	PCYOX1L	1415	1386	1317	971	1469	1382
ENSG00000145888	GLRA1	3	3	3	1	5	2
ENSG00000145901	TNIP1	2949	2884	2630	1890	2747	2630
ENSG00000145907	G3BP1	11767	11483	10193	8596	12212	10263
ENSG00000145908	ZNF300	54	55	55	45	63	59
ENSG00000145911	N4BP3	4688	3352	2296	3989	3672	2376
ENSG00000145912	NHP2	5706	4492	4312	3984	5175	4502
ENSG00000145916	RMND5B	7878	7974	5276	5786	7899	5470
ENSG00000145919	BOD1	4210	3946	4400	3372	4182	4320
ENSG00000145920	CPLX2	0	2	0	1	1	1
ENSG00000145934	TENM2	3	3	3	1	1	5
ENSG00000145936	KCNMB1	14	29	13	12	28	14
ENSG00000145945	FAM50B	377	410	360	289	390	423
ENSG00000145949	MYLK4	58	82	42	33	62	47
ENSG00000145975	FAM217A	13	17	10	9	12	16
ENSG00000145979	TBC1D7	1181	1220	1246	930	1274	1222
ENSG00000145982	FARS2	556	474	525	400	563	567
ENSG00000145990	GFOD1	817	695	680	640	685	675
ENSG00000145996	CDKAL1	926	1035	825	652	964	876
ENSG00000146001	PCDHB18P	35	79	34	18	44	33
ENSG00000146005	PSD2	52	32	17	26	26	24
ENSG00000146006	LRRTM2	15	22	7	8	12	16
ENSG00000146007	ZMAT2	5933	6102	5770	3934	6733	6038
ENSG00000146013	GFRA3	31	47	50	16	42	41
ENSG00000146021	KLHL3	2	3	2	3	0	7
ENSG00000146038	DCDC2	1187	1188	1320	888	1170	1256
ENSG00000146039	SLC17A4	4	4	0	1	1	3
ENSG00000146047	HIST1H2BA	0	0	0	1	0	0
ENSG00000146049	KAAG1	3	8	4	1	9	3
ENSG00000146054	TRIM7	218	211	197	195	178	197
ENSG00000146063	TRIM41	3210	3145	2808	2043	2768	3415
ENSG00000146066	HIGD2A	1181	1258	1045	760	1319	1120
ENSG00000146067	FAM193B	2135	2396	1952	1525	2091	2300
ENSG00000146070	PLA2G7	1	1	0	0	0	0
ENSG00000146072	TNFRSF21	1701	1486	1693	1541	1825	1326
ENSG00000146083	RNF44	3004	2804	2272	1997	2497	2743
ENSG00000146085	MUT	2049	2485	2227	1464	2454	2534
ENSG00000146090	RASGEF1C	17	12	15	9	14	17
ENSG00000146094	DOK3	272	200	281	196	214	299
ENSG00000146109	ABT1	1621	1730	1570	1217	1776	1670
ENSG00000146112	PPP1R18	1345	1266	1396	991	1325	1498
ENSG00000146122	DAAM2	26	31	30	13	19	40
ENSG00000146143	PRIM2	788	860	761	572	875	783
ENSG00000146147	MLIP	6	7	3	2	6	2
ENSG00000146151	HMGCLL1	833	1655	884	572	1509	1118
ENSG00000146166	LGSN	6	9	12	8	11	6
ENSG00000146192	FGD2	16	11	17	22	15	18
ENSG00000146197	SCUBE3	64	99	71	62	72	69
ENSG00000146205	ANO7	78	111	75	52	88	126
ENSG00000146216	TTBK1	14	30	29	17	19	21
ENSG00000146221	TCTE1	2	4	1	0	4	3
ENSG00000146223	RPL7L1	12227	10979	11212	9016	12369	11521
ENSG00000146232	NFKBIE	259	285	288	239	268	303
ENSG00000146233	CYP39A1	0	3	0	0	1	0
ENSG00000146242	TPBG	11301	14555	10550	8279	12328	11703
ENSG00000146243	IRAK1BP1	89	103	85	55	106	93
ENSG00000146247	PHIP	8823	9101	8514	6812	9539	8990
ENSG00000146250	PRSS35	7	19	7	2	21	16
ENSG00000146263	MMS22L	2953	2766	2742	2276	2874	2867
ENSG00000146267	FAXC	160	185	165	127	179	135
ENSG00000146276	GABRR1	3	2	0	2	6	4
ENSG00000146278	PNRC1	1274	1590	887	865	1117	1020
ENSG00000146281	PM20D2	1312	1199	1247	1101	1220	1273
ENSG00000146282	RARS2	3094	3136	2999	2318	3395	3221
ENSG00000146285	SCML4	2	3	0	1	2	0
ENSG00000146350	TBC1D32	323	333	265	216	327	334
ENSG00000146352	CLVS2	1	0	0	1	0	0
ENSG00000146360	GPR6	0	1	0	0	0	0
ENSG00000146373	RNF217	12	10	8	7	8	7
ENSG00000146374	RSPO3	7	8	3	2	5	2
ENSG00000146376	ARHGAP18	673	815	649	465	775	697
ENSG00000146386	ABRACL	1812	1592	1921	1399	1717	1849
ENSG00000146409	SLC18B1	5	4	4	5	2	7
ENSG00000146410	MTFR2	820	956	910	606	1056	1061
ENSG00000146411	SLC2A12	58	43	45	30	45	43
ENSG00000146414	SHPRH	1205	1288	1175	891	1303	1174
ENSG00000146416	AIG1	970	1118	1000	694	1186	1083
ENSG00000146425	DYNLT1	3045	3072	3013	1853	3483	3199
ENSG00000146426	TIAM2	206	241	193	152	228	200
ENSG00000146433	TMEM181	2690	3005	2528	1846	2889	2634
ENSG00000146453	PNLDC1	2	3	5	3	2	0
ENSG00000146457	WTAP	2103	2181	2166	1562	2268	2145
ENSG00000146463	ZMYM4	3265	3626	3312	2379	3767	3387
ENSG00000146469	VIP	0	0	0	0	1	0
ENSG00000146476	ARMT1	15778	17970	16900	11365	18153	17909
ENSG00000146521	LINC01558	7	10	14	6	15	11
ENSG00000146530	VWDE	10	13	10	9	16	12
ENSG00000146535	GNA12	4170	4554	4483	3021	4484	4360
ENSG00000146540	C7orf50	5216	5898	5336	3827	6271	5850
ENSG00000146555	SDK1	2363	3243	1855	1606	2720	2068
ENSG00000146556	WASH2P	591	668	483	331	532	536
ENSG00000146574	CCZ1B	532	501	492	383	523	520
ENSG00000146576	C7orf26	1159	1505	1276	904	1390	1294
ENSG00000146587	RBAK	3097	3264	2915	2417	3373	3100
ENSG00000146592	CREB5	1	1	1	4	2	0
ENSG00000146648	EGFR	487	667	438	444	763	437
ENSG00000146666	LINC00525	2	0	1	2	1	0
ENSG00000146670	CDCA5	6102	7376	6599	4218	7405	6959
ENSG00000146674	IGFBP3	240	401	404	185	416	311
ENSG00000146676	PURB	7802	8771	7720	5849	8242	8064
ENSG00000146677	na	31	45	28	24	45	47
ENSG00000146678	IGFBP1	1	0	0	0	1	0
ENSG00000146700	SSC4D	26	32	40	15	33	28
ENSG00000146701	MDH2	11922	12090	10524	8089	12990	11668
ENSG00000146707	POMZP3	30	50	46	32	40	41
ENSG00000146722	na	25	23	23	25	25	26
ENSG00000146729	GBAS	1450	1266	1579	1100	1361	1555
ENSG00000146731	CCT6A	14820	13823	15211	12032	16657	14413
ENSG00000146733	PSPH	915	794	763	729	752	802
